Crop,CROP.WILD.RELATIVE,GENEPOOL,GRAFTSTOCK,TRAIT,ONTOLOGY,BREEDING.TYPE
Alder,Alnus crispa,NA,NA,NA,NA,NA
Alder,Alnus rubra,NA,NA,NA,NA,NA
Alder,Alnus rugosa,NA,NA,NA,NA,NA
Alder,Alnus sinuata,NA,NA,NA,NA,NA
Amaranth,Amaranthus albus,NA,NA,NA,NA,NA
Amaranth,Amaranthus californicus,NA,NA,NA,NA,NA
Amaranth,Amaranthus graecizans,NA,NA,NA,NA,NA
Amaranth,Amaranthus tuberculatus,NA,NA,NA,NA,NA
Apple,Malus coronaria,Tertiary,,,NA,
Apple,Malus fusca,,Graftstock,Abiotic,NA,Waterlogging Tolerance (AB)
Ash,Fraxinus americana,NA,NA,NA,NA,NA
Ash,Fraxinus nigra,NA,NA,NA,NA,NA
Ash,Fraxinus pennsylvanica,NA,NA,NA,NA,NA
Ash,Fraxinus quadrangulata,NA,NA,NA,NA,NA
Barley,Hordeum depressum,Tertiary,,,NA,
Barley,Hordeum jubatum,Tertiary,,Abiotic,NA,Salt Tolerance (AB)
Barley,Hordeum pusillum,Tertiary,,,NA,
Beech,Fagus grandifolia,NA,NA,NA,NA,NA
Bengrass,Agrostis borealis,NA,NA,NA,NA,NA
Bengrass,Agrostis diegoensis,NA,NA,NA,NA,NA
Bengrass,Agrostis exarata,NA,NA,NA,NA,NA
Bengrass,Agrostis hyemalis,NA,NA,NA,NA,NA
Bengrass,Agrostis perennans,NA,NA,NA,NA,NA
Birch,Betula lenta,NA,NA,NA,NA,NA
Birch,Betula lutea,NA,NA,NA,NA,NA
Birch,Betula neoalaskana,NA,NA,NA,NA,NA
Birch,Betula occidentalis,NA,NA,NA,NA,NA
Birch,Betula papyrifera,NA,NA,NA,NA,NA
Birch,Betula populifolia,NA,NA,NA,NA,NA
Blueberry,Vaccinium alaskaense,NA,NA,NA,NA,NA
Blueberry,Vaccinium angustifolium,Primary,,Agronomic,NA,Crop Quality (AG)
Blueberry,Vaccinium atrococcum,NA,NA,NA,NA,NA
Blueberry,Vaccinium caespitosum,NA,NA,NA,NA,NA
Blueberry,Vaccinium corymbsum,NA,NA,NA,NA,NA
Blueberry,Vaccinium deliciosum,Secondary,,,NA,
Blueberry,Vaccinium membranaceum,Secondary,,,NA,
Blueberry,Vaccinium myrtilloides,Tertiary,,,NA,
Blueberry,Vaccinium myrtillus,,,,NA,
Blueberry,Vaccinium nubigeum,NA,NA,NA,NA,NA
Blueberry,Vaccinium ovalifolium,Secondary,,,NA,
Blueberry,Vaccinium ovatum,Tertiary,,,NA,
Blueberry,Vaccinium parvifolium,Secondary,,,NA,
Blueberry,Vaccinium scoparium,Secondary,,,NA,
Blueberry,Vaccinium stamineum,NA,NA,NA,NA,NA
Blueberry,Vaccinium uliginosum,Tertiary,,Abiotic,NA,Cold Tolerance (AB)
Blueberry,Vaccinium vacillans,NA,NA,NA,NA,NA
