Group,crop,garden,variant,latitude,longitude,country,IUCNRedList,ECO_CODE,province,geometry,
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,UBC,NA,46.904395,-80.081475,Canada,Least concern,NA0604,Ontario,c(-80.081475, 46.904395)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,New Brunswick,c(-67.566667, 45.716667)
Trees,Maple,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,New Brunswick,c(-67.566667, 45.716667)
Trees,Maple,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,New Brunswick,c(-67.566667, 45.716667)
Trees,Maple,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,New Brunswick,c(-67.566667, 45.716667)
Trees,Maple,UBC,NA,45.716667,-67.566667,Canada,Least concern,NA0411,New Brunswick,c(-67.566667, 45.716667)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,UBC,NA,46.932305,-80.098145,Canada,Least concern,NA0604,Ontario,c(-80.098145, 46.932305)
Trees,Maple,UBC,NA,46.932305,-80.098145,Canada,Least concern,NA0604,Ontario,c(-80.098145, 46.932305)
Trees,Maple,UBC,NA,46.932305,-80.098145,Canada,Least concern,NA0604,Ontario,c(-80.098145, 46.932305)
Trees,Maple,University of Guelph Arboretum,NA,44.524171,-76.46553,Canada,NA,NA0604,Ontario,c(-76.46553, 44.524171)
Trees,Maple,University of Guelph Arboretum,NA,44.524171,-76.46553,Canada,NA,NA0604,Ontario,c(-76.46553, 44.524171)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,University of Guelph Arboretum,NA,46.481556,-84.010833,Canada,NA,NA0404,Ontario,c(-84.010833, 46.481556)
Trees,Maple,University of Guelph Arboretum,NA,42.7417885,-80.42821493,Canada,NA,NA0404,Ontario,c(-80.42821493, 42.7417885)
Trees,Maple,University of Guelph Arboretum,NA,44.06175847,-81.37332572,Canada,NA,NA0404,Ontario,c(-81.37332572, 44.06175847)
Trees,Maple,University of Guelph Arboretum,NA,46.481556,-84.010833,Canada,NA,NA0404,Ontario,c(-84.010833, 46.481556)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,42.5641,-81.624983,Canada,NA,NA0404,Ontario,c(-81.624983, 42.5641)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,42.5641,-81.624983,Canada,NA,NA0404,Ontario,c(-81.624983, 42.5641)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,43.93448804,-80.91652367,Canada,NA,NA0404,Ontario,c(-80.91652367, 43.93448804)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,University of Guelph Arboretum,NA,44.41269107,-79.89972421,Canada,NA,NA0404,Ontario,c(-79.89972421, 44.41269107)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
Trees,Maple,University of Guelph Arboretum,NA,41.81138836,-82.85521028,Canada,NA,NA0404,NA,c(-82.85521028, 41.81138836)
